,tconst,original_title,start_year,runtime_minutes,genres,budget,ww_gross,mpaa_rating,month
1891,tt2304583,Death by China,2012,78.0,"Documentary,Drama,History",,38492.0,Not Rated,8.0
1892,tt2304933,The 5th Wave,2016,112.0,"Action,Adventure,Drama","{'amount': 38000000, 'currency': 'USD'}",109906372.0,PG-13,1.0
1893,tt2304997,They Come to America,2012,99.0,Documentary,,3775.0,Not Rated,3.0
1894,tt2305051,Wild,2014,115.0,"Adventure,Biography,Drama","{'amount': 15000000.0, 'currency': 'USD'}",52501541.0,R,12.0
1895,tt2306745,Sound City,2013,107.0,"Documentary,Music",,521181.0,Not Rated,1.0
1896,tt2308260,A Night in Old Mexico,2013,103.0,"Adventure,Drama","{'amount': 2000000.0, 'currency': 'USD'}",225222.0,Not Rated,3.0
1897,tt2309021,We Are What We Are,2013,105.0,"Drama,Horror,Thriller",,159047.0,R,1.0
1898,tt2309260,The Gallows,2015,81.0,"Horror,Mystery,Thriller","{'amount': 100000, 'currency': 'USD'}",42964410.0,R,7.0
1899,tt2309762,Eternity: The Movie,2014,88.0,"Comedy,Music,Musical","{'amount': 220000.0, 'currency': 'USD'}",8350.0,Not Rated,10.0
1900,tt2311428,Windsor Drive,2015,90.0,"Mystery,Thriller","{'amount': 100000.0, 'currency': 'USD'}",3256.0,Not Rated,8.0
1901,tt2312616,The Pleasures of Being Out of Step,2013,87.0,"Biography,Documentary,History",,13137.0,Not Rated,6.0
1902,tt2312718,Homefront,2013,100.0,"Action,Thriller","{'amount': 22000000, 'currency': 'USD'}",48449416.0,R,11.0
1903,tt2312890,Afternoon Delight,2013,98.0,"Comedy,Drama",,175755.0,R,1.0
1904,tt2313896,Beneath the Harvest Sky,2013,116.0,"Crime,Drama,Romance",,34768.0,Not Rated,4.0
1905,tt2314374,Jake Squared,2013,100.0,"Comedy,Drama",,2592.0,R,8.0
1906,tt2314824,Behaving Badly,2014,97.0,Comedy,"{'amount': 3000000.0, 'currency': 'USD'}",422697.0,R,7.0
1907,tt2315596,Galveston,2018,91.0,"Action,Crime,Drama",,225795.0,Not Rated,10.0
1908,tt2316204,Alien: Covenant,2017,122.0,"Horror,Sci-Fi,Thriller","{'amount': 97000000, 'currency': 'USD'}",240891763.0,R,5.0
1909,tt2316868,The Better Angels,2014,95.0,"Biography,Drama,History",,70918.0,PG,11.0
1910,tt2318092,Endless Love,2014,104.0,"Drama,Romance","{'amount': 20000000, 'currency': 'USD'}",34718173.0,PG-13,2.0
